Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-06-06,Possibly in Michigan,1983,https://boxd.it/hGzKP,5,,"youtube, short film",2017-06-05
2017-06-08,Possibly in Michigan,1983,https://boxd.it/hJgyV,5,Yes,"rabbit, michel",2017-06-07
2017-06-10,After Porn Ends,2012,https://boxd.it/hLBdN,2,,"netflix, pedro",2017-06-09
2017-06-11,Cream,2017,https://boxd.it/hM8dV,4,,"youtube, short film",2017-06-10
2017-06-11,Cream,2017,https://boxd.it/hMzvH,4,Yes,"youtube, chris, arthur, short film",2017-06-10
2017-06-14,Cream,2017,https://boxd.it/hPTfF,4,Yes,"rabbit, theo",2017-06-11
2017-06-14,I Love You Both,2016,https://boxd.it/hQb4b,3.5,,"rabbit, pedro, alice",2017-06-13
2017-06-16,Wonder Woman,2017,https://boxd.it/hSIgD,4.5,,"movie theater, theo, ciro, tamira",2017-06-15
2017-06-17,The Wave,2015,https://boxd.it/hTSOd,3,,"netflix, marcos",2017-06-16
2017-06-20,OK,2007,https://boxd.it/hXXHz,2,,"short film, rabbit, alice, gabra, leo",2017-06-19
2017-06-20,The Neon Demon,2016,https://boxd.it/hYlrl,2.5,,"rabbit, lorena, leo, alice",2017-06-19
2017-06-21,Song to Song,2017,https://boxd.it/hZscp,1.5,,online,2017-06-20
2017-06-22,#twitterkills,2014,https://boxd.it/i19NP,3,,"rabbit, lorena, leo, gabra, alice, pedro, short film",2017-06-21
2017-06-24,Nine Lives,2016,https://boxd.it/i3jCL,3,,"netflix, theo",2017-06-23
2017-06-25,Goodnight Mommy,2014,https://boxd.it/i4VwX,1,,"online, chris, arthur",2017-06-25
2017-06-28,Pet,2016,https://boxd.it/i81VP,3.5,,"tv, online, bro",2017-06-27
2017-06-28,The Wizard of Oz,1939,https://boxd.it/i8Btd,5,,"movie theater, theo",2017-06-27
2017-06-29,Too Many Cooks,2014,https://boxd.it/ialrz,3,,"youtube, gabra",2017-06-28
2017-06-30,Sucker Punch,2011,https://boxd.it/iaybf,5,Yes,"tv, gabra, bro",2017-06-29
2017-07-02,It Comes at Night,2017,https://boxd.it/ie3rT,4,,movie theater,2017-07-01
2017-07-03,An Open Secret,2014,https://boxd.it/ifQEJ,3.5,,"youtube, chris",2017-07-02
2017-07-04,Charlie's Angels,2000,https://boxd.it/igAJF,5,Yes,"dvd, bro",2017-07-03
2017-07-04,Texas Chainsaw Massacre: The Next Generation,1995,https://boxd.it/ih7UV,1,,"online, arthur",2017-07-03
2017-07-07,Dear White People,2014,https://boxd.it/ilGMF,3,,"online, theo",2017-07-06
2017-07-08,Out of Sight,2010,https://boxd.it/inaHR,4,,"youtube, short film",2017-07-07
2017-07-09,The Texas Chainsaw Massacre,2003,https://boxd.it/inHKf,5,,"online, arthur",2017-07-08
2017-07-11,Tokyo Idols,2017,https://boxd.it/isrMz,3.5,,"online, chris",2017-07-10
