Date,Name,Year,Letterboxd URI,Rating
2017-04-26,Ocean Waves,1993,https://boxd.it/1CtQ,3
2017-04-28,The Toyman Killer,2013,https://boxd.it/7GLm,1.5
2017-04-28,Lilo & Stitch,2002,https://boxd.it/1TAY,4.5
2017-04-29,Whisper of the Heart,1995,https://boxd.it/17uy,5
2017-04-30,Princess Mononoke,1997,https://boxd.it/2b4w,4
2017-05-01,My Neighbors the Yamadas,1999,https://boxd.it/1KC2,3.5
2017-05-05,Spirited Away,2001,https://boxd.it/2b4m,5
2017-05-06,The Witch,2015,https://boxd.it/9X0m,5
2017-05-06,Howl's Moving Castle,2004,https://boxd.it/23De,4.5
2017-05-08,The Blackcoat's Daughter,2015,https://boxd.it/b2Km,5
2017-05-09,Touchy Feely,2013,https://boxd.it/4QMe,3.5
2017-05-10,I Am the Pretty Thing That Lives in the House,2016,https://boxd.it/elo6,2
2017-05-13,What Is Cinema?,2013,https://boxd.it/6vIu,2.5
2017-05-18,Revolution of 30,1980,https://boxd.it/9aIu,1.5
2017-05-18,Ponyo,2008,https://boxd.it/1S0A,4.5
2017-05-20,Pandora's Box,1929,https://boxd.it/29jE,3.5
2017-05-20,Lilo & Stitch 2: Stitch Has a Glitch,2005,https://boxd.it/1CXw,3
2017-05-22,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,5
2017-05-23,The Texas Chainsaw Massacre 2,1986,https://boxd.it/1Kk8,1.5
2017-05-23,Free Samples,2012,https://boxd.it/3Bps,2
2017-05-26,Raw,2016,https://boxd.it/dLd2,4.5
2017-05-26,Ares,2016,https://boxd.it/eE9E,1
2017-05-27,Sunset Boulevard,1950,https://boxd.it/2a20,4.5
2017-05-27,Before I Go to Sleep,2014,https://boxd.it/69du,4
2017-05-28,7 Witches,2017,https://boxd.it/g9xE,0.5
2017-05-28,Leatherface: The Texas Chainsaw Massacre III,1990,https://boxd.it/1wyK,2.5
2017-05-28,Oculus,2013,https://boxd.it/4W9M,5
